出发站,到达站,出发站lng,出发站lat,到达站lng,到达站lat
东站(环城南路),市博物馆,102.73355,25.030291,102.728754,25.03326
市博物馆,拓东路中段,102.728754,25.03326,102.723958,25.033655
拓东路中段,拓东路,102.723958,25.033655,102.718012,25.033546
拓东路,得胜桥(青年路),102.718012,25.033546,102.716675,25.035074
得胜桥(青年路),南太桥(青年路),102.716675,25.035074,102.716115,25.039062
南太桥(青年路),财盛巷口(人民中路),102.716115,25.039062,102.714332,25.042279
财盛巷口(人民中路),文庙(华山西路),102.714332,25.042279,102.707726,25.042995
文庙(华山西路),青云街,102.707726,25.042995,102.707695,25.048685
青云街,云南大学(青云街),102.707695,25.048685,102.704765,25.052132
云南大学(青云街),府甬道,102.704765,25.052132,102.700531,25.051298
府甬道,建设路,102.700531,25.051298,102.696548,25.052177
建设路,地台寺,102.696548,25.052177,102.694572,25.055201
地台寺,理工大学西门(建设路),102.694572,25.055201,102.692513,25.059948
理工大学西门(建设路),苏家塘,102.692513,25.059948,102.692426,25.063216
苏家塘,冶金学校,102.692426,25.063216,102.688837,25.064128
冶金学校,阳光果香小区(学府路),102.688837,25.064128,102.684605,25.064266
阳光果香小区(学府路),虹山新村,102.684605,25.064266,102.681389,25.062865
虹山新村,金鼎园,102.681389,25.062865,102.675399,25.063859
金鼎园,普吉路南口,102.675399,25.063859,102.673805,25.066668
普吉路南口,交通学校,102.673805,25.066668,102.674385,25.072592
交通学校,观音寺社区,102.674385,25.072592,102.673958,25.078602
观音寺社区,王家桥(普吉路),102.673958,25.078602,102.671562,25.084232
王家桥(普吉路),普吉路中段,102.671562,25.084232,102.671454,25.088733
普吉路中段,公交西部修理公司(河北路),102.671454,25.088733,102.669502,25.095114
公交西部修理公司(河北路),西北部公交枢纽站,102.669502,25.095114,102.664993,25.094563
黄土坡,普吉路口(滇缅大道),102.67056,25.064167,102.673802,25.061892
普吉路口(滇缅大道),麻园(滇缅大道),102.673802,25.061892,102.677977,25.057539
麻园(滇缅大道),虹山南路口(滇缅大道),102.677977,25.057539,102.684844,25.053381
虹山南路口(滇缅大道),西站,102.684844,25.053381,102.688398,25.052543
西站,建设路,102.688398,25.052543,102.696927,25.051419
建设路,百汇商场,102.696927,25.051419,102.697565,25.047552
百汇商场,富春街口(人民中路),102.697565,25.047552,102.701697,25.043524
富春街口(人民中路),胜利广场,102.701697,25.043524,102.706645,25.042839
胜利广场,财盛巷口(人民中路),102.706645,25.042839,102.711944,25.042027
财盛巷口(人民中路),交三桥(人民东路),102.711944,25.042027,102.717499,25.042381
交三桥(人民东路),交三桥(北京路),102.717499,25.042381,102.719514,25.041428
交三桥(北京路),东风广场(北京路),102.719514,25.041428,102.719731,25.037057
东风广场(北京路),塘子巷(北京路),102.719731,25.037057,102.720091,25.031341
塘子巷(北京路),和平村(北京路),102.720091,25.031341,102.720373,25.028598
和平村(北京路),环城南路口(北京路),102.720373,25.028598,102.720924,25.023108
环城南路口(北京路),昆明站(永平路),102.720924,25.023108,102.723194,25.018668
颐园小区(白云路),白云路口(北京路),102.72802,25.064663,102.723412,25.065113
白云路口(北京路),凤凰新村,102.723412,25.065113,102.721733,25.0602
凤凰新村,火车北站(北京路),102.721733,25.0602,102.719376,25.05357
火车北站(北京路),穿心鼓楼(北京路),102.719376,25.05357,102.719379,25.048134
穿心鼓楼(北京路),凤凰村,102.719379,25.048134,102.719383,25.045643
凤凰村,交三桥(人民东路),102.719383,25.045643,102.71814,25.042526
交三桥(人民东路),南太桥(青年路),102.71814,25.042526,102.716064,25.039007
南太桥(青年路),得胜桥(青年路),102.716064,25.039007,102.716629,25.034891
得胜桥(青年路),金马坊,102.716629,25.034891,102.713942,25.033444
金马坊,靖国路口,102.713942,25.033444,102.704727,25.033134
靖国路口,弥勒寺(西昌路),102.704727,25.033134,102.700898,25.031228
弥勒寺(西昌路),工人新村(西昌路),102.700898,25.031228,102.704414,25.027865
工人新村(西昌路),西岳庙(海埂路),102.704414,25.027865,102.708338,25.02194
西岳庙(海埂路),豆腐营(海埂路),102.708338,25.02194,102.708504,25.016771
豆腐营(海埂路),洒金巷口(海埂路),102.708504,25.016771,102.708679,25.008858
洒金巷口(海埂路),绿荫大道路口,102.708679,25.008858,102.70944,25.004171
绿荫大道路口,日新路口(润城第二大道),102.70944,25.004171,102.70872,24.999236
日新路口(润城第二大道),前卫营(前兴路),102.70872,24.999236,102.707268,24.992973
前卫营(前兴路),前兴路公交枢纽站,102.707268,24.992973,102.705467,24.987856
小菜园立交桥,鼓楼路,102.709518,25.059862,102.71125,25.055264
鼓楼路,圆通山,102.71125,25.055264,102.714844,25.052126
圆通山,青年路,102.714844,25.052126,102.715118,25.045984
青年路,南太桥(青年路),102.715118,25.045984,102.716057,25.039066
弥勒寺(西昌路),工人新村(安康路),102.700773,25.031345,102.700523,25.028246
工人新村(安康路),安康路,102.700523,25.028246,102.69735,25.028143
安康路,刘家营(安康路),102.69735,25.028143,102.693573,25.028055
刘家营(安康路),安康路口,102.693573,25.028055,102.689705,25.027182
安康路口,东陆桥(西园路),102.689705,25.027182,102.684245,25.029553
东陆桥(西园路),昆五中,102.684245,25.029553,102.68043,25.031536
昆五中,大观楼车场,102.68043,25.031536,102.675933,25.027496
茭菱路口(环城西路),潘家湾(人民西路),102.689115,25.048351,102.691376,25.044067
潘家湾(人民西路),小西门(人民西路),102.691376,25.044067,102.696063,25.043707
小西门(人民西路),小西门(东风西路),102.696063,25.043707,102.700438,25.041606
小西门(东风西路),艺术剧院,102.700438,25.041606,102.703915,25.03829
艺术剧院,南太桥(东风东路),102.703915,25.03829,102.71803,25.03803
南太桥(东风东路),尚义巷口(东风东路),102.71803,25.03803,102.723685,25.038147
尚义巷口(东风东路),拓东体育馆(东风东路),102.723685,25.038147,102.731128,25.038255
拓东体育馆(东风东路),东站(环城东路),102.731128,25.038255,102.734398,25.03323
东站(环城东路),民航路,102.734398,25.03323,102.734299,25.026535
民航路,吴井路口(民航路),102.734299,25.026535,102.73642,25.023506
吴井路口(民航路),五里多村,102.73642,25.023506,102.738655,25.020069
五里多村,关兴路口(民航路),102.738655,25.020069,102.742043,25.015409
关兴路口(民航路),官渡广场(民航路),102.742043,25.015409,102.744377,25.011953
官渡广场(民航路),关上(民航路),102.744377,25.011953,102.746437,25.008963
关上(民航路),关景路,102.746437,25.008963,102.750061,25.006062
关景路,巫家坝车场,102.750061,25.006062,102.754456,25.006098
高峣,碧鸡关,102.618099,24.98477,102.615447,24.988707
碧鸡关,车家壁地铁站,102.615447,24.988707,102.615625,24.993633
车家壁地铁站,车家壁(春雨路),102.615625,24.993633,102.617782,24.997556
车家壁(春雨路),春雨路南段,102.617782,24.997556,102.618685,24.998967
春雨路南段,干沟路口,102.618685,24.998967,102.621354,25.005022
干沟路口,普坪村,102.621354,25.005022,102.624076,25.011176
普坪村,白沙路口,102.624076,25.011176,102.628082,25.015964
白沙路口,石咀村,102.628082,25.015964,102.629965,25.018802
石咀村,马街村(春雨路),102.629965,25.018802,102.633888,25.024612
马街村(春雨路),大渔路地铁站(春雨路),102.633888,25.024612,102.63628,25.028681
大渔路地铁站(春雨路),马街(春雨路),102.63628,25.028681,102.637487,25.031654
马街(春雨路),益宁路口(春雨路),102.637487,25.031654,102.63931,25.03599
益宁路口(春雨路),上村路口(春雨路),102.63931,25.03599,102.640239,25.038312
上村路口(春雨路),七公里(春雨路),102.640239,25.038312,102.643776,25.044094
七公里(春雨路),眠山车场,102.643776,25.044094,102.647797,25.046952
潘家湾(西昌路),环城西路口(茭菱路),102.694362,25.047713,102.687161,25.049709
环城西路口(茭菱路),茭菱路,102.687161,25.049709,102.683975,25.049995
茭菱路,西园路口(茭菱路),102.683975,25.049995,102.677917,25.048811
西园路口(茭菱路),丰宁小区,102.677917,25.048811,102.674095,25.049114
丰宁小区,西苑立交桥北口,102.674095,25.049114,102.670872,25.049492
西苑立交桥北口,省社科联(二环西路),102.670872,25.049492,102.67135,25.054414
省社科联(二环西路),科锦路口(二环西路),102.67135,25.054414,102.669708,25.060247
科锦路口(二环西路),黄土坡立交桥西口,102.669708,25.060247,102.664618,25.064353
黄土坡立交桥西口,海源中路口(滇缅大道),102.664618,25.064353,102.661016,25.063872
海源中路口(滇缅大道),昌源路口(滇缅大道),102.661016,25.063872,102.659019,25.06362
昌源路口(滇缅大道),假日城市小区(滇缅大道),102.659019,25.06362,102.656708,25.063341
假日城市小区(滇缅大道),黑林铺(滇缅大道),102.656708,25.063341,102.650093,25.061455
黑林铺(滇缅大道),滇缅大道西段,102.650093,25.061455,102.648766,25.059305
滇缅大道西段,小团山(滇缅大道),102.648766,25.059305,102.647667,25.055056
小团山(滇缅大道),昭宗路口(滇缅大道),102.647667,25.055056,102.647232,25.053377
昭宗路口(滇缅大道),昆明玻璃厂,102.647232,25.053377,102.643924,25.055699
昆明玻璃厂,昭宗彝族村,102.643924,25.055699,102.641536,25.054549
昭宗彝族村,昭宗彝族村口,102.641536,25.054549,102.639536,25.052548
昭宗彝族村口,昭宗乡村委会,102.639536,25.052548,102.637943,25.050812
昭宗乡村委会,昭宗路,102.637943,25.050812,102.636324,25.047383
昭宗路,昭宗大村,102.636324,25.047383,102.635347,25.04378
昭宗大村,昆药集团,102.635347,25.04378,102.638359,25.041571
昆药集团,益宁路口(春雨路),102.638359,25.041571,102.639288,25.035929
益宁路口(春雨路),七公里(春雨路),102.639288,25.035929,102.64375,25.044067
昆师路,西站,102.695378,25.046749,102.688767,25.052613
西站,虹山南路口(滇缅大道),102.688767,25.052613,102.683899,25.053957
虹山南路口(滇缅大道),麻园(滇缅大道),102.683899,25.053957,102.678162,25.057573
麻园(滇缅大道),黄土坡后街,102.678162,25.057573,102.674301,25.063377
黄土坡后街,普吉路南口,102.674301,25.063377,102.673798,25.066689
观音寺社区,王家桥(王家桥路),102.673958,25.078559,102.674408,25.083937
王家桥(王家桥路),冶炼厂,102.674408,25.083937,102.675812,25.086671
冶炼厂,王家桥路,102.675812,25.086671,102.672118,25.090434
王家桥路,公交西部修理公司(普吉路),102.672118,25.090434,102.670967,25.094213
公交西部修理公司(普吉路),普吉农贸市场,102.670967,25.094213,102.670029,25.096243
普吉农贸市场,普吉,102.670029,25.096243,102.669792,25.102032
普吉,大普吉村(同心路),102.669792,25.102032,102.66704,25.105317
大普吉村(同心路),普吉小学,102.66704,25.105317,102.66418,25.10526
普吉小学,轻机厂,102.66418,25.10526,102.659436,25.107018
火车北站(环城北路),油管桥,102.717726,25.055048,102.713906,25.057483
油管桥,小菜园立交桥,102.713906,25.057483,102.710165,25.060143
小菜园立交桥,小菜园,102.710165,25.060143,102.709145,25.065821
小菜园,下马村(龙泉路),102.709145,25.065821,102.709297,25.069363
下马村(龙泉路),上马村,102.709297,25.069363,102.711777,25.07546
上马村,马村立交桥,102.711777,25.07546,102.714661,25.079805
马村立交桥,龙泉住宅区,102.714661,25.079805,102.717348,25.083711
龙泉住宅区,高教巷口(龙泉路),102.717348,25.083711,102.718377,25.087721
高教巷口(龙泉路),岗头村,102.718377,25.087721,102.718615,25.095764
岗头村,昆烟二部,102.718615,25.095764,102.719553,25.098242
昆烟二部,沙坝营(龙泉路),102.719553,25.098242,102.720711,25.102345
沙坝营(龙泉路),昆明烟厂,102.720711,25.102345,102.723976,25.110243
昆明烟厂,小麦溪,102.723976,25.110243,102.725707,25.118277
小麦溪,蓝龙潭,102.725707,25.118277,102.72918,25.126098
蓝龙潭,沣源路口(龙泉路),102.72918,25.126098,102.731029,25.130846
沣源路口(龙泉路),市第二人民医院,102.731029,25.130846,102.731944,25.133529
市第二人民医院,茨坝新村,102.731944,25.133529,102.732769,25.135751
茨坝新村,白杨路口(龙泉路),102.732769,25.135751,102.73555,25.143387
白杨路口(龙泉路),茨坝(龙泉路),102.73555,25.143387,102.736893,25.147232
茨坝(龙泉路),植物园北门,102.736893,25.147232,102.741325,25.145599
植物园北门,蓝桉路口,102.741325,25.145599,102.74543,25.140032
蓝桉路口,黑龙潭,102.74543,25.140032,102.747414,25.13695
黑龙潭,干休所,102.747414,25.13695,102.747757,25.134413
干休所,农业大学,102.747757,25.134413,102.746468,25.127171
农业大学,小康大道路口(沣源路),102.746468,25.127171,102.745407,25.122009
小康大道路口(沣源路),幸福家园小区,102.745407,25.122009,102.747795,25.11895
幸福家园小区,北京路口(沣源路),102.747795,25.11895,102.750816,25.114843
北京路口(沣源路),龙头街,102.750816,25.114843,102.755009,25.109861
龙头街,北部公交枢纽站,102.755009,25.109861,102.764036,25.109219
南屏街西口,艺术剧院,102.708488,25.036598,102.703796,25.038542
艺术剧院,小西门(东风西路),102.703796,25.038542,102.700378,25.041798
小西门(东风西路),百汇商场,102.700378,25.041798,102.698012,25.045838
百汇商场,建设路,102.698012,25.045838,102.696654,25.052062
建设路,师范大学,102.696654,25.052062,102.697865,25.054262
师范大学,一二一大街,102.697865,25.054262,102.70385,25.056944
一二一大街,小菜园立交桥,102.70385,25.056944,102.710167,25.059992
小菜园,江岸小区,102.709145,25.065733,102.71328,25.068008
江岸小区,盘江东路口(白云路),102.71328,25.068008,102.714928,25.068069
盘江东路口(白云路),万华路口(白云路),102.714928,25.068069,102.717278,25.067623
万华路口(白云路),志强路口(白云路),102.717278,25.067623,102.721657,25.066389
志强路口(白云路),北京路口(白云路),102.721657,25.066389,102.725159,25.065399
北京路口(白云路),颐园小区(白云路),102.725159,25.065399,102.727325,25.06484
颐园小区(白云路),王旗营(白云路),102.727325,25.06484,102.729957,25.063212
王旗营(白云路),小坝(穿金路),102.729957,25.063212,102.735139,25.061727
小坝(穿金路),小坝立交桥,102.735139,25.061727,102.737328,25.063858
小坝立交桥,昆十一中,102.737328,25.063858,102.740242,25.066767
昆十一中,北辰大道路口(穿金路),102.740242,25.066767,102.744637,25.071159
北辰大道路口(穿金路),波罗村,102.744637,25.071159,102.747269,25.073685
波罗村,省精神病医院,102.747269,25.073685,102.749619,25.076002
省精神病医院,煤机新村,102.749619,25.076002,102.752792,25.07917
煤机新村,铂金大道路口(穿金路),102.752792,25.07917,102.756058,25.082327
铂金大道路口(穿金路),穿金路北段,102.756058,25.082327,102.761871,25.086407
穿金路北段,金殿车场,102.761871,25.086407,102.766701,25.087669
巫家坝车场,关通路口(雨龙路),102.755019,25.006102,102.751298,25.013919
关通路口(雨龙路),雨龙路,102.751298,25.013919,102.746432,25.020898
雨龙路,彩云北路口(雨龙路),102.746432,25.020898,102.746341,25.023963
彩云北路口(雨龙路),菊华立交桥东口,102.746341,25.023963,102.747357,25.024848
菊华立交桥东口,三公里,102.747357,25.024848,102.75013,25.02378
三公里,关上(彩云北路),102.75013,25.02378,102.758705,25.016602
关上(彩云北路),朱家村(彩云北路),102.758705,25.016602,102.763624,25.014965
朱家村(彩云北路),朱家村(贵昆路),102.763624,25.014965,102.773368,25.007075
朱家村(贵昆路),牛街庄,102.773368,25.007075,102.778906,25.005447
牛街庄,昌宏路口(贵昆路),102.778906,25.005447,102.784983,25.003559
昌宏路口(贵昆路),八公里下穿路口,102.784983,25.003559,102.79099,25.00122
八公里下穿路口,八公里,102.79099,25.00122,102.794366,24.999028
八公里,昆船大道路口(贵昆路),102.794366,24.999028,102.797188,24.996506
昆船大道路口(贵昆路),普照村(贵昆路),102.797188,24.996506,102.805138,24.991871
普照村(贵昆路),大石坝,102.805138,24.991871,102.817146,24.993273
大石坝,小石坝,102.817146,24.993273,102.825562,25.006233
小石坝,干海子,102.825562,25.006233,102.835114,25.009687
干海子,双拥站,102.835114,25.009687,102.836826,25.012236
双拥站,招呼站,102.836826,25.012236,102.839835,25.01602
招呼站,阿依村,102.839835,25.01602,102.868051,25.040924
阿依村,电杆厂,102.868051,25.040924,102.872378,25.04355
电杆厂,大板桥明应寺,102.872378,25.04355,102.875351,25.044384
大板桥明应寺,大板桥镇,102.875351,25.044384,102.879783,25.045477
大板桥镇,大板桥公交车场,102.879783,25.045477,102.885343,25.047474
呈贡,兴呈路口,102.795838,24.890052,102.79424,24.89174
兴呈路口,北门街口(兴呈路),102.79424,24.89174,102.793243,24.896793
北门街口(兴呈路),斗南路口(兴呈路),102.793243,24.896793,102.793831,24.903503
斗南路口(兴呈路),斗南地铁站(彩云北路),102.793831,24.903503,102.791806,24.90793
斗南地铁站(彩云北路),殷家村,102.791806,24.90793,102.785048,24.912192
殷家村,小新村(自卫村),102.785048,24.912192,102.7801,24.916298
小新村(自卫村),照西村,102.7801,24.916298,102.777088,24.92145
照西村,螺蛳湾公交枢纽站(彩云北路),102.777088,24.92145,102.775022,24.928633
螺蛳湾公交枢纽站(彩云北路),螺蛳湾二期(彩云北路),102.775022,24.928633,102.773372,24.934601
螺蛳湾二期(彩云北路),广福立交北,102.773372,24.934601,102.769705,24.947808
广福立交北,子君村(彩云北路),102.769705,24.947808,102.768372,24.957049
子君村(彩云北路),云秀路口(彩云北路),102.768372,24.957049,102.768077,24.960747
云秀路口(彩云北路),六谷村(彩云北路),102.768077,24.960747,102.767591,24.966606
六谷村(彩云北路),大都购物中心(彩云北路),102.767591,24.966606,102.767096,24.972995
大都购物中心(彩云北路),织布营,102.767096,24.972995,102.767006,24.97888
织布营,雨龙村(彩云北路),102.767006,24.97888,102.766949,24.984852
雨龙村(彩云北路),名宅东辰苑(雨龙路),102.766949,24.984852,102.762491,24.99352
名宅东辰苑(雨龙路),土桥村(雨龙路),102.762491,24.99352,102.762656,24.996489
土桥村(雨龙路),和甸营村,102.762656,24.996489,102.759609,25.002474
和甸营村,关景路口(雨龙路),102.759609,25.002474,102.757439,25.00526
关景路口(雨龙路),巫家坝车场,102.757439,25.00526,102.754623,25.006107
小西门远郊车场,昆阳客运站,102.696643,25.044363,102.611496,24.652254
湖西小区站,凌波小区,102.504132,24.885985,102.503793,24.888576
凌波小区,博创,102.503793,24.888576,102.501563,24.890933
博创,六万,102.501563,24.890933,102.498346,24.892908
六万,昆明工业职业技术学院,102.498346,24.892908,102.496398,24.895612
昆明工业职业技术学院,昆钢商场,102.496398,24.895612,102.496298,24.897396
昆钢商场,园山南路,102.496298,24.897396,102.494991,24.901228
园山南路,百花路口(招呼站),102.494991,24.901228,102.494167,24.921506
百花路口(招呼站),安房集团,102.494167,24.921506,102.493633,24.924019
安房集团,读书铺,102.493633,24.924019,102.557656,24.946532
读书铺,桥钢,102.557656,24.946532,102.577457,24.954362
桥钢,长坡,102.577457,24.954362,102.593433,24.961749
长坡,高峣立交桥(招呼站),102.593433,24.961749,102.620764,24.992348
高峣立交桥(招呼站),明波建材灯具市场,102.620764,24.992348,102.667656,25.029596
明波建材灯具市场,鱼翅路口,102.667656,25.029596,102.669826,25.035312
鱼翅路口,西苑立交桥南口,102.669826,25.035312,102.670417,25.043424
西苑立交桥南口,潘家湾,102.670417,25.043424,102.69128,25.044076
潘家湾,潘家湾(西昌路),102.69128,25.044076,102.694462,25.045608
潘家湾(西昌路),百汇商场,102.694462,25.045608,102.69773,25.04635
百汇商场,小西门,102.69773,25.04635,102.697079,25.044093
温泉,珍泉村,102.45178,24.955039,102.453485,24.950616
珍泉村,羊角村,102.453485,24.950616,102.454559,24.944107
羊角村,杨柳庄,102.454559,24.944107,102.48558,24.938671
杨柳庄,金城花园,102.48558,24.938671,102.504149,24.924987
金城花园,大渔路口(碧鸡路),102.504149,24.924987,102.645531,25.021898
大渔路口(碧鸡路),苏家村,102.645531,25.021898,102.650642,25.024302
苏家村,西三环路口,102.650642,25.024302,102.656433,25.026119
西三环路口,小河埂,102.656433,25.026119,102.660988,25.02751
小河埂,明波建材灯具市场,102.660988,25.02751,102.667778,25.029636
明波建材灯具市场,鱼翅路口(二环西路),102.667778,25.029636,102.669815,25.035164
鱼翅路口(二环西路),省粮油批发市场,102.669815,25.035164,102.669952,25.037109
省粮油批发市场,西苑立交桥南口,102.669952,25.037109,102.67041,25.043306
西苑立交桥南口,梁家河,102.67041,25.043306,102.67967,25.044905
梁家河,潘家湾,102.67967,25.044905,102.690094,25.044157
昆阳磷肥厂,中谊村,102.590423,24.70982,102.588905,24.725616
中谊村,中谊村(中谊综合农贸市场),102.588905,24.725616,102.588753,24.728073
中谊村(中谊综合农贸市场),大渔路口(碧鸡路),102.588753,24.728073,102.645499,25.021871
大渔路口(碧鸡路),兴苑路口,102.645499,25.021871,102.661354,25.040412
兴苑路口,西苑立交桥,102.661354,25.040412,102.66707,25.045851
西苑立交桥,近华浦路口,102.66707,25.045851,102.676003,25.045178
近华浦路口,潘家湾,102.676003,25.045178,102.691246,25.044075
潘家湾,小西门车场,102.691246,25.044075,102.697083,25.044088
大观楼(大观路),昆五中,102.676753,25.028303,102.68082,25.031788
昆五中,九二〇医院,102.68082,25.031788,102.687049,25.03543
九二〇医院,环西桥(大观路),102.687049,25.03543,102.690929,25.037205
环西桥(大观路),篆塘(大观路),102.690929,25.037205,102.69339,25.039457
篆塘(大观路),篆塘,102.69339,25.039457,102.694489,25.041645
篆塘,潘家湾(西昌路),102.694489,25.041645,102.694466,25.045504
潘家湾(西昌路),潘家湾2,102.694466,25.045504,102.694371,25.047622
潘家湾2,师范大学,102.694371,25.047622,102.697777,25.054222
师范大学,一二一大街(莲花池),102.697777,25.054222,102.70385,25.05694
一二一大街(莲花池),圆通北路,102.70385,25.05694,102.707413,25.056585
圆通北路,油管桥,102.707413,25.056585,102.714951,25.056688
油管桥,环城北路,102.714951,25.056688,102.721527,25.053564
环城北路,席子营(环城东路),102.721527,25.053564,102.726059,25.051189
席子营(环城东路),理工大学新迎校区,102.726059,25.051189,102.728806,25.048725
理工大学新迎校区,白龙路,102.728806,25.048725,102.731522,25.048529
白龙路,新迎路口(白龙路),102.731522,25.048529,102.736679,25.052118
新迎路口(白龙路),石闸立交桥(白龙路),102.736679,25.052118,102.742615,25.053684
石闸立交桥(白龙路),佳园小区(白龙路),102.742615,25.053684,102.746674,25.05868
佳园小区(白龙路),人与自然小区,102.746674,25.05868,102.750114,25.062822
人与自然小区,白龙路口(东三环),102.750114,25.062822,102.756294,25.066143
白龙路口(东三环),西南林业大学东门(东三环),102.756294,25.066143,102.763885,25.063377
西南林业大学东门(东三环),长地埂村(东三环),102.763885,25.063377,102.764877,25.057964
长地埂村(东三环),呼马山(东三环),102.764877,25.057964,102.766849,25.053724
呼马山(东三环),东三环路口(金瓦路),102.766849,25.053724,102.773377,25.049032
东三环路口(金瓦路),市委党校(金瓦路),102.773377,25.049032,102.776901,25.048516
市委党校(金瓦路),白沙河,102.776901,25.048516,102.781753,25.049102
白沙河,东郊黄土坡,102.781753,25.049102,102.785768,25.051979
东郊黄土坡,花之城广场,102.785768,25.051979,102.791293,25.052435
花之城广场,青龙村(照青路),102.791293,25.052435,102.795105,25.049026
青龙村(照青路),青龙山,102.795105,25.049026,102.791336,25.04369
青龙山,东部公交枢纽站,102.791336,25.04369,102.788872,25.038147
昆明站(北京路),永安路口(北京路),102.721611,25.017742,102.721252,25.020779
永安路口(北京路),环城南路口(北京路),102.721252,25.020779,102.720795,25.025414
环城南路口(北京路),和平村(北京路),102.720795,25.025414,102.720406,25.029102
和平村(北京路),塘子巷,102.720406,25.029102,102.719944,25.034479
塘子巷,东风广场(北京路),102.719944,25.034479,102.71974,25.03924
东风广场(北京路),交三桥(北京路),102.71974,25.03924,102.71957,25.043563
交三桥(北京路),凤凰村,102.71957,25.043563,102.719488,25.047179
凤凰村,穿心鼓楼(北京路),102.719488,25.047179,102.719492,25.050369
穿心鼓楼(北京路),火车北站(北京路),102.719492,25.050369,102.720122,25.055464
火车北站(北京路),凤凰新村,102.720122,25.055464,102.721954,25.060318
凤凰新村,白云路口(北京路),102.721954,25.060318,102.724106,25.066448
白云路口(北京路),金星立交桥,102.724106,25.066448,102.727483,25.07546
金星立交桥,北辰大道路口(北京路),102.727483,25.07546,102.733139,25.081589
北辰大道路口(北京路),江东花园北路口(北京路),102.733139,25.081589,102.73645,25.085786
江东花园北路口(北京路),金安小区,102.73645,25.085786,102.738338,25.090829
金安小区,霖雨桥(北京路),102.738338,25.090829,102.73951,25.094141
霖雨桥(北京路),金江小区,102.73951,25.094141,102.741254,25.098937
金江小区,羊肠村(北京路),102.741254,25.098937,102.743553,25.105156
羊肠村(北京路),司家营(北京路),102.743553,25.105156,102.744743,25.108393
司家营(北京路),昆十中(北京路),102.744743,25.108393,102.7463,25.111597
昆十中(北京路),沣源路口(北京路),102.7463,25.111597,102.749158,25.114397
沣源路口(北京路),龙头街,102.749158,25.114397,102.754952,25.109887
龙头街,北部汽车客运站,102.754952,25.109887,102.760916,25.108407
北部汽车客运站,北部公交枢纽站,102.760916,25.108407,102.763919,25.109261
昆明站(北京路),双龙商场,102.721606,25.017726,102.718815,25.024084
双龙商场,双龙桥,102.718815,25.024084,102.713164,25.023598
双龙桥,西岳庙(海埂路),102.713164,25.023598,102.708336,25.021885
前卫营(前兴路),大庄村(前兴路),102.707283,24.99301,102.705933,24.987288
大庄村(前兴路),商汇路口(前兴路),102.705933,24.987288,102.704849,24.982656
商汇路口(前兴路),前兴路口(广福路),102.704849,24.982656,102.703494,24.979423
前兴路口(广福路),昆明同仁医院(广福路),102.703494,24.979423,102.6977,24.979345
昆明同仁医院(广福路),太家河,102.6977,24.979345,102.688381,24.984787
太家河,广福路口(前卫西路),102.688381,24.984787,102.685883,24.987635
广福路口(前卫西路),太河村(前卫西路),102.685883,24.987635,102.682343,24.985634
太河村(前卫西路),海宏路口(前卫西路),102.682343,24.985634,102.676994,24.982595
海宏路口(前卫西路),滇池路口(前卫西路),102.676994,24.982595,102.671445,24.979444
滇池路口(前卫西路),西贡码头(滇池路),102.671445,24.979444,102.662726,24.984813
西贡码头(滇池路),滇池度假区管委会(滇池路),102.662726,24.984813,102.665972,24.982036
滇池度假区管委会(滇池路),七公里(滇池路),102.665972,24.982036,102.669714,24.977635
七公里(滇池路),红塔东路口(滇池路),102.669714,24.977635,102.671263,24.973659
红塔东路口(滇池路),云南民族村,102.671263,24.973659,102.667984,24.967344
云南民族村,海埂公园(滇池路),102.667984,24.967344,102.665405,24.961166
昆明站(北京路),北京路口(环城南路),102.721603,25.017809,102.721954,25.024208
北京路口(环城南路),吴井桥(环城南路),102.721954,25.024208,102.727057,25.025664
吴井桥(环城南路),民航路口(环城南路),102.727057,25.025664,102.730312,25.027921
民航路口(环城南路),东站(环城南路),102.730312,25.027921,102.733503,25.030117
东站(环城南路),董家湾(环城东路),102.733503,25.030117,102.734531,25.036393
董家湾(环城东路),延安医院(环城东路),102.734531,25.036393,102.733299,25.042109
延安医院(环城东路),理工大学新迎校区,102.733299,25.042109,102.729424,25.048307
理工大学新迎校区,席子营(环城东路),102.729424,25.048307,102.72641,25.050993
席子营(环城东路),席子营社区,102.72641,25.050993,102.727234,25.053839
席子营社区,穿金路口(联盟路),102.727234,25.053839,102.728508,25.056379
穿金路口(联盟路),联盟路,102.728508,25.056379,102.725723,25.057995
联盟路,联盟路口(万宏路),102.725723,25.057995,102.725502,25.059124
联盟路口(万宏路),万宏路,102.725502,25.059124,102.726112,25.060652
万宏路,王旗营(万宏路),102.726112,25.060652,102.728439,25.063398
王旗营(万宏路),金星东门,102.728439,25.063398,102.731491,25.066425
金星东门,金江路,102.731491,25.066425,102.729797,25.067738
金江路,金星西门,102.729797,25.067738,102.726791,25.068621
金星西门,金夏路,102.726791,25.068621,102.72831,25.074617
金夏路,金实小区,102.72831,25.074617,102.732048,25.075352
金实小区,金菊路口(金实路),102.732048,25.075352,102.733719,25.07678
金菊路口(金实路),北辰小区(北辰中路),102.733719,25.07678,102.736626,25.080021
北辰小区(北辰中路),北辰中路,102.736626,25.080021,102.737648,25.081215
北辰中路,江东商业街,102.737648,25.081215,102.739578,25.084648
江东商业街,江东花园,102.739578,25.084648,102.738853,25.087536
江东花园,金安小区,102.738853,25.087536,102.738335,25.090855
